Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train1Val_ProteinGym,231.7932,10.37,1140587041,2182.84,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train1Val_Test,231.8016,10.04,1141639201,2186.85,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train1Val_ClinVarHQ,231.8016,10.39,1141639201,2186.85,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train1Val_UniProt,231.8016,10.37,1141639201,2186.85,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train1Val_ProteinGym,231.8016,10.38,1141639201,2186.85,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train1Val_Test,231.7938,10.02,1138812961,2176.07,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train1Val_ClinVarHQ,231.7938,10.37,1138812961,2176.07,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train1Val_UniProt,231.7938,10.35,1138812961,2176.07,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train1Val_ProteinGym,231.7938,10.36,1138812961,2176.07,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train1Val_Test,231.7932,10.02,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train1Val_ClinVarHQ,231.7932,10.37,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train1Val_UniProt,231.7932,10.35,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train1Val_ProteinGym,231.7932,10.36,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train1Val_Test,231.7932,10.01,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train1Val_ClinVarHQ,231.7932,10.37,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train1Val_UniProt,231.7932,10.34,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train1Val_ProteinGym,231.7932,10.36,1138485793,2174.82,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train1Val_Test,231.7932,10.01,1140587041,2182.84,1686.1,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train1Val_ClinVarHQ,231.7932,10.36,1140587041,2182.84,1686.1,,,,,,,,,,
